State,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Oregon,"8,479","9,560","12,083","6,946","8,540","9,623","9,188","7,905","9,028","9,026","7,997","7,694","7,791","7,171","7,379","8,655","10,033","9,221","9,679"
Pennsylvania,"17,970","21,328","19,428","14,606","18,813","28,902","25,950","22,811","23,646","24,105","24,130","25,397","25,032","24,720","23,944","24,969","27,217","27,762","26,078"
Puerto Rico,"2,624","3,426","3,053","3,110","4,760","3,623","4,093","2,917","3,287","4,084","4,283","3,288","3,106","2,942","2,709","3,322","3,581","3,298","3,062"
Rhode Island,"2,513","2,802","3,048","2,492","3,740","3,852","4,778","3,354","3,735","4,156","4,027","3,681","3,798","3,337","3,297","3,610","4,194","4,102","4,336"
South Carolina,"2,253","2,862","2,952","1,942","2,672","5,028","5,291","4,788","4,241","4,747","4,401","4,216","3,924","4,266","4,233","4,417","5,104","5,027","5,078"
South Dakota,445,668,899,487,747,881,"1,013",668,773,"1,271",987,"1,337","1,521","1,231","1,108","1,265","1,229","1,017","1,132"
Tennessee,"4,837","6,234","5,674","3,367","5,844","8,960","10,037","8,942","8,348","9,042","8,156","8,279","8,573","8,380","8,507","8,833","10,032","9,793","9,590"
Texas,"63,391","85,905","88,142","53,412","92,440","95,951","89,027","77,278","89,811","95,384","87,750","94,481","95,557","92,674","95,295","99,727","110,651","110,126","104,515"
Utah,"3,667","5,218","4,871","3,159","4,346","5,082","5,749","5,168","6,087","6,466","6,085","6,426","5,932","5,503","6,166","6,883","7,271","6,390","5,723"
Vermont,802,950,"1,003",550,814,"1,042",894,791,771,792,867,943,877,838,791,792,886,787,824
Virginia,"19,985","26,767","25,319","19,726","22,104","27,095","38,483","29,682","30,257","29,825","28,607","27,767","28,227","27,861","28,477","27,622","29,242","29,466","27,426"
Washington,"18,245","22,977","25,631","17,935","19,758","26,480","23,803","22,657","23,170","27,562","22,283","23,789","23,060","22,994","22,710","24,765","27,304","27,363","26,029"
West Virginia,569,736,635,483,634,847,763,721,798,734,729,830,779,760,783,786,928,776,675
