,Region and country of birth,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
42,Bulgaria,"3,133","2,570","2,661","2,440","2,844","2,981","2,688","2,670","2,184","1,798"
43,Burkina Faso,416,377,433,558,585,583,575,642,541,525
44,Burma,"13,621","12,925","16,518","17,383","12,565","11,144","12,808","13,065","12,897","8,182"
45,Burundi,"1,505",841,593,535,260,273,351,415,"1,094",762
46,Cabo Verde,"2,238","1,668","1,808","1,684","1,673","1,154","1,253","2,242","2,618","1,929"
47,Cambodia,"3,771","2,986","2,745","2,473","2,624","2,536","1,868","3,173","4,056","3,187"
48,Cameroon,"3,463","4,161","4,754","3,815","3,908","3,943","4,374","4,899","4,668","4,236"
49,Canada,"16,140","13,328","12,800","12,932","13,181","11,586","12,673","12,793","11,484","9,898"
50,Cayman Islands,45,52,41,44,44,48,53,55,67,47
51,Central African Republic,107,101,134,116,213,155,234,202,178,304
52,Chad,102,120,171,155,111,119,175,136,205,251
53,Chile,"2,250","1,950","1,853","1,673","1,736","1,581","1,596","1,698","1,625","1,519"
54,"China, People's Republic","64,238","70,863","87,016","81,784","71,798","76,089","74,558","81,772","71,565","65,214"
55,Colombia,"27,849","22,406","22,635","20,931","21,131","18,175","17,316","18,610","17,956","17,545"
56,Comoros,3,4,8,10,D,9,5,4,4,8
57,"Congo, Democratic Republic","2,122","1,764","2,424","3,731","2,792","4,347","5,345","6,791","8,709","9,941"
58,"Congo, Republic","1,563",968,"1,371","1,461","1,059",552,496,625,632,580
59,Costa Rica,"2,384","2,164","2,135","2,020","2,114","1,966","2,029","2,224","2,184","2,171"
60,Cote d'Ivoire,"2,159","1,621","1,302","1,760","1,486","1,477","1,497","1,617","1,810","1,375"
61,Croatia,496,357,349,336,353,297,348,388,375,286
62,Cuba,"38,954","33,573","36,452","32,820","32,219","46,679","54,396","66,516","65,028","76,486"
63,Curacao,X,X,-,-,-,27,22,35,34,56
64,Cyprus,142,122,101,107,126,129,113,131,117,120
65,Czechia,146,190,303,677,676,606,637,650,582,534
66,Czechoslovakia (former),865,750,466,159,74,74,58,62,52,51
67,Denmark,603,518,459,459,506,514,609,521,461,353
68,Djibouti,54,37,56,106,90,190,370,281,222,281
69,Dominica,484,366,287,125,244,345,229,298,510,492
70,Dominican Republic,"49,414","53,870","46,109","41,566","41,311","44,577","50,610","61,161","58,520","57,413"
71,Ecuador,"12,128","11,492","11,103","9,342","10,591","10,960","10,187","10,757","10,594","11,472"
72,Egypt,"8,844","8,978","7,778","8,988","10,294","11,477","12,085","12,045","9,834","9,826"
73,El Salvador,"19,909","18,806","18,667","16,256","18,260","19,273","19,487","23,449","25,109","28,326"
74,Equatorial Guinea,32,12,13,20,18,15,25,18,20,17
75,Eritrea,"1,928","1,656","2,102","2,643","2,138","2,002","2,220","2,267","2,449","2,428"
76,Estonia,282,260,191,227,211,220,189,211,176,151
77,Eswatini (formerly Swaziland),42,22,19,24,15,23,19,20,19,18
78,Ethiopia,"15,462","14,266","13,793","14,544","13,097","12,300","11,394","13,232","14,637","12,403"
79,Fiji,"1,194","1,201","1,041",853,895,802,875,866,805,730
80,Finland,423,397,363,348,331,350,407,489,439,442
81,France,"4,569","3,919","3,653","3,862","4,425","4,284","4,693","5,159","4,782","4,276"
82,French Polynesia,30,16,21,30,-,24,14,27,20,10
83,Gabon,171,138,204,197,127,167,146,165,150,112
84,Gambia,978,859,972,"1,159","1,018","1,111","1,142","1,247","1,134","1,023"
85,Georgia,"1,578","1,518","1,490","1,341","1,368","1,240","1,410","1,635","1,629","1,643"
86,Germany,"7,583","6,888","6,125","5,812","6,032","5,584","5,436","5,306","4,662","4,443"
87,Ghana,"8,401","7,429","8,798","10,592","10,265","7,115","6,186","6,949","8,455","8,394"
88,Greece,798,745,949,"1,054","1,361","1,235","1,211","1,451","1,314","1,214"
89,Grenada,748,664,579,671,687,633,525,585,544,501
90,Guatemala,"12,187","10,467","11,092","10,341","10,224","10,238","11,773","13,002","13,198","15,638"
91,Guinea,"1,725","1,379","1,555","1,656","1,518","1,375","1,389","1,501","1,348","1,282"
92,Guinea-Bissau,20,30,29,47,43,30,39,37,48,27
93,Guyana,"6,670","6,749","6,599","5,683","5,897","6,267","5,543","5,771","5,468","5,165"
94,Haiti,"24,280","22,582","22,111","22,818","20,351","15,274","16,967","23,584","21,824","21,360"
95,Honduras,"6,404","6,448","6,133","6,884","8,898","8,156","9,274","13,302","11,387","13,794"
96,Hong Kong,"2,651","2,432","2,306","2,104","2,226","2,278","2,085","2,510","2,415","2,075"
97,Hungary,"1,314","1,022","1,044","1,054","1,052",996,"1,095","1,048",972,917
98,Iceland,131,105,90,103,139,86,104,97,86,89
99,India,"57,304","69,162","69,013","66,434","68,458","77,908","64,116","64,687","60,394","59,821"
