,Region and country of birth,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
24,Australia,"2,044","2,811","2,557","1,836","2,604","3,193","3,249","2,518","2,464","2,622"
25,Austria,405,522,483,295,402,532,524,485,443,512
26,Azerbaijan,"1,036","1,152","1,164",746,969,"1,523","2,371","1,166","1,071",834
27,Bahamas,766,924,808,423,586,698,847,738,682,751
28,Bahrain,106,118,85,59,116,140,148,133,96,120
29,Bangladesh,"7,204","7,152","5,483","4,616","8,061","11,487","14,644","12,074","11,753","16,651"
30,Barbados,777,895,813,516,630,846,959,689,585,603
31,Belarus,"2,170","2,901","2,923","1,858","2,255","3,503","3,086","2,328","2,390","2,407"
32,Belgium,670,814,769,455,638,859,716,638,642,686
33,Belize,757,936,966,588,871,876,"1,252","1,073","1,077","1,041"
34,Benin,62,75,137,76,185,193,275,258,317,401
35,Bermuda,71,98,108,92,100,116,160,108,92,108
36,Bhutan,D,5,14,15,17,30,78,52,42,594
37,Bolivia,"1,761","1,819","1,664","1,376","1,768","2,197","4,025","2,590","2,436","2,837"
38,Bosnia-Herzegovina,"11,525","23,594","25,329","6,155","10,552","14,074","3,789","1,569","1,491","1,501"
39,Botswana,13,24,30,27,34,54,53,49,41,55
40,Brazil,"6,943","9,448","9,439","6,331","10,556","16,662","17,903","14,295","12,195","14,701"
41,British Virgin Islands,67,70,43,43,35,41,47,40,53,46
42,Brunei,16,27,28,20,22,49,25,32,18,26
43,Bulgaria,"4,917","4,400","3,608","3,825","4,253","5,635","4,828","3,981","2,960","3,133"
44,Burkina Faso,48,68,64,60,103,128,221,238,238,416
45,Burma,"1,201","1,373","1,356","1,193","1,379","2,095","4,562","3,130","3,403","13,621"
46,Burundi,28,79,120,74,100,186,320,257,255,"1,505"
47,Cambodia,"2,138","2,462","2,800","2,263","3,553","4,022","5,773","4,246","3,713","3,771"
48,Cameroon,860,791,984,927,"1,309","1,458","2,919","3,392","3,771","3,463"
49,Canada,"16,057","21,752","19,352","11,350","15,569","21,878","18,207","15,495","15,109","16,140"
50,Cape Verde,"1,079",868,871,745,"1,015","1,225","1,780","2,048","1,916","2,238"
51,Cayman Islands,31,23,24,35,38,37,65,40,37,45
52,Central African Republic,4,11,13,6,17,24,51,52,88,107
53,Chad,23,44,47,8,23,31,73,74,96,102
54,Chile,"1,700","1,921","1,839","1,310","1,810","2,404","2,774","2,274","2,017","2,250"
55,"China, People's Republic","45,585","56,267","61,082","40,568","55,494","69,933","87,307","76,655","80,271","64,238"
56,Colombia,"14,427","16,627","18,758","14,720","18,846","25,566","43,144","33,187","30,213","27,849"
57,"Congo, Democratic Republic",123,145,178,110,155,260,738,"1,129","1,261","2,122"
58,"Congo, Republic",189,311,677,513,670,"1,064","1,600",972,950,"1,563"
59,Costa Rica,"1,310","1,733","1,591","1,246","1,755","2,278","3,109","2,540","2,090","2,384"
60,Cote d'Ivoire,439,596,629,483,666,930,"2,067","1,193","1,645","2,159"
61,Croatia,"1,058","2,853","3,798","1,153","1,511","1,780",945,482,455,496
