,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Belize,389.0,499.0,304.0,381.0,636.0,856.0,1765.0,1280.0,951.0,1940.0,1797.0,1014.0,771.0,665.0,664.0,704.0,918.0,799.0,1291.0,854.0,556.0,742.0,817.0,966.0,773.0,851.0,870.0,810.0,859.0
Benin,8.0,10.0,13.0,10.0,6.0,13.0,9.0,4.0,11.0,12.0,23.0,19.0,25.0,27.0,42.0,56.0,64.0,61.0,79.0,119.0,127.0,183.0,210.0,206.0,229.0,310.0,317.0,309.0,249.0
Bermuda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,58.0,47.0,38.0,47.0,58.0,72.0,42.0,75.0,80.0,65.0,58.0,65.0,59.0,67.0,66.0,61.0,65.0,70.0
Bhutan,3.0,8.0,6.0,9.0,10.0,7.0,0.0,3.0,1.0,4.0,0.0,4.0,0.0,0.0,3.0,6.0,0.0,10.0,9.0,17.0,50.0,55.0,42.0,275.0,2639.0,4562.0,5563.0,5557.0,6180.0
Bolivia,471.0,519.0,423.0,571.0,810.0,1168.0,2066.0,980.0,812.0,1379.0,1369.0,905.0,1098.0,932.0,1125.0,1361.0,1630.0,1311.0,2807.0,1700.0,1185.0,1446.0,2063.0,1961.0,1527.0,1689.0,1862.0,1806.0,1575.0
Bosnia and Herzegovina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4012.0,4259.0,4904.0,3662.0,2509.0,3304.0,2257.0,1780.0,1805.0
Bosnia-Herzegovina,0.0,0.0,0.0,4.0,25.0,31.0,47.0,48.0,28.0,243.0,1745.0,2756.0,4092.0,4993.0,8013.0,8921.0,9686.0,8175.0,8176.0,4544.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Botswana,0.0,1.0,4.0,1.0,3.0,2.0,5.0,5.0,0.0,5.0,8.0,7.0,4.0,12.0,5.0,9.0,17.0,4.0,18.0,17.0,24.0,9.0,11.0,29.0,24.0,28.0,29.0,27.0,38.0
Brazil,674.0,683.0,679.0,922.0,1342.0,1278.0,2685.0,2192.0,1927.0,3644.0,4510.0,3925.0,3885.0,3091.0,4074.0,4583.0,7028.0,5745.0,8808.0,7960.0,8867.0,10251.0,9884.0,9565.0,8625.0,10516.0,10268.0,9701.0,10538.0
British Virgin Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,48.0,40.0,22.0,41.0,38.0,54.0,40.0,67.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
